artist,title,Lyrics
Bob Marley & The Wailers,Babylon System,"We refuse to be
What you wanted us to be
We are what we are
That's the way (way) it's going to be, if you don't know
You can't educate us
For no equal opportunity
(Talking about my freedom) Talking about my freedom
People freedom (freedom) and liberty

Yeah, we've been trodding on the winepress much too long
Rebel, rebel
Yes, we've been trodding on the winepress much too long
Rebel, rebel

Babylon system is the vampire, yeah (vampire)
Sucking the children day by day, yeah
I say, the Babylon system is the vampire, falling empire
Sucking the blood of the sufferers, yea-ea-ah
Building church and university, wooh, yeah
Deceiving the people continually, yea-ah
I say they are graduating thieves and murderers
Look out now, they are sucking the blood of the sufferers (sufferers)
Yea-ea-eah! (Sufferers)

Tell the children the truth
Tell the children the truth
Tell the children the truth right now
Come on and tell the children the truth
Tell the children the truth
Tell the children the truth
Tell the children the truth
Come on and tell the children the truth

'Cause, 'cause we've been trodding on your winepress much too long
Rebel, rebel
And we've been taken for granted much too long
Rebel, rebel, now
Trodding on the winepress
We've got to rebel, y'all
Yeah we've been trodding on the winepress much too long, yeah"
Bob Marley & The Wailers,Kinky Reggae,"Uh, ah-oh-oh! I went downtown, (I went downtown)
I saw Miss Brown; (Said, I saw Miss Brown)
She had brown sugar (Had brown sugar)
All over her booga-wooga (Over her booga-wooga)
I think I might join the fun, (I might join the fun)
But I had to hit and run (Had to hit and run)
See I just can't settle down (Just can't settle down)
In a kinky part of town
Ride on
Don't you know I've got to (Ride on), oh baby
Ride on; see I just can't settle down (Ride on)
Oh, I'm a leaving town (Kinky reggae)

Kinky reggae, take me away! (Kinky reggae, now) Kinky reggae, now!
Oh, kinky reggae; all I've got to say, kinky reggae, now!
Kinky reggae, oh baby! Kinky reggae, now!
It's got to be kinky reggae (Keep it up) Kinky reggae, now!
An' I would say: ride on, ride on, ride on (Ride on)!
Oh, ride on, baby!
Ride on, come on, woo-o-o! (Ride on) Wo-now! Eh!

I went down to Piccadilly Circus; (Ooh-ooh-ooh)
Down there I saw Marcus: (Oo-oo-oo-ooh)
He had a candy tar (Ooh-ooh-ooh)
All over his chocolate bar (Oo-oo-oo-ooh)
I think I might join the fun, (I might join the fun)
But I had to hit and run (Had to hit and run)
See I just can't settle down (Just can't settle down)
In a kinky, kinky part of town
Nice one; that's what they say, (Nice one)
But I'm leaving you today (Nice one)
Oh, darling, please don't pay: (Nice one)
Mama say - mama say

Kinky reggae - kinky reggae, uh! Kinky reggae, now!
Take it or leave it!
Kinky reggae, believe it! Kinky reggae, now!
Kinky reggae - it's got to be: kinky reggae!
Kinky reggae, now! Cuka-yeah, now!
Kinky reggae - sca-ba-dool-ya-bung, baby!
Kinky reggae, now, oh-oh-ooh!
(Ride on!) Ride on! Come on, yeah! (Ride on)
Riding on - riding on!
Ride on, kinky reggae, come on, ride on! Eh! Eh!
Kinky, kinky, kinky as kinky (Kinky reggae) can be ! Reggae! Eh!
Kinky reggae! Let me hear you say, now: kinky reggae, now, oh!
Kinky reggae! Kinky reggae, now! Kick it away!
Kinky reggae - kick it away, now! Kinky reggae, now, oh!
Ride on! "
Bob Marley & The Wailers,She’s Gone,"My woman is gone (woman is gone)
My woman is gone (woman is gone)

She had left me a note hanging on my door
She say she couldn't take it, she couldn't take any more
The pressure around me just couldn't see
She felt like a prisoner who needs to be free
Fools have tried, yeah - wisemen have failed
Oh, listen to me, honey, life could never be another jail
Still we know now, we'll never see smoke without fire
And everyone you see has a heart desire

She's gone (she's gone), she's gone (she's gone)
She's gone (she's gone), she's gone, ye-ah
Oh, mocking bird, have you ever heard
Words that I never heard
Oh, mocking bird, have you ever heard
Words that I never heard

She made it through the exit (she just couldn't take it)
She made it through the exit (she just couldn't make it)
And, oh, my children, if you see me crying
My woman is gone
If you see me - if you see me - if you see me
If you see me crying
If you see me - if you see me - if you see me
If you see me crying

She's gone (she's gone), she's gone (she's gone)
She's gone (she's gone), she's gone, ye-ah
Oh, mocking bird, have you ever heard
Words that I never heard
Oh, mocking bird, have you ever heard
Words that I never heard

She's gone"
Bob Marley & The Wailers,So Much Trouble in the World,"So much trouble in the world
So much trouble in the world

Bless my eyes this morning
Jah sun is on the rise once again
The way earthly thing's are going
Anything can happen
You see men sailing on their ego trip
Blast off on their spaceship
Million miles from reality
No care for you, no care for me

So much trouble in the world;
So much trouble in the world
All you got to do: give a little (give a little)
Give a little (give a little), give a little (give a little)!
One more time, ye-ah! (give a little) Ye-ah! (give a little)
Ye-ah! (give a little) Yeah!

So you think you've found the solution
But it's just another illusion!
(So before you check out this tide)
Don't leave another cornerstone
Standing there behind, eh-eh-eh-eh!
We've got to face the day
(Ooh) Ooh-wee, come what may
We the street people talking
Yeah, we the people struggling

Now they sitting on a time bomb; (Bomb-bomb-bomb! Bomb-bomb-bomb!)
Now I know the time has come: (Bomb-bomb-bomb! Bomb-bomb-bomb!)
What goes on up is coming on down, (Bomb-bomb-bomb! Bomb-bomb-bomb!)
Goes around and comes around. (Bomb-bomb-bomb! Bomb-bomb-bomb!)

So much trouble in the world
So much trouble in the world
So much trouble in the world
There is so much trouble (so much trouble in the world)
There is so much trouble
There is so much trouble (so much in the world)
There is so much trouble
There is so much trouble in the world (so much trouble in the world)
There is (so much in the world)
(So much trouble in the world)"
Bob Marley & The Wailers,African Herbsman,"Old Twinkling Lee
Can't see the right roads when the streets are paved
The old slave mill, might grind slow
But it grinds fine... yeah

African Herbsman, why linger on?
Just concentrate cuz heaven lives on
Retired slaveman, will look with a scorn
With a transplanted heart


Yes how quick we have to part
Yes how quick we have to part

The remembrance... of today... is the sad feeling of tomorrow...

Yes how quick we have to part

Oh, oh yeah

African Herbsman, seize your time
I'm taking illusion on the edge of my mind
I'm taking losers down through my life
Down through my life, yeah


Yes how quick we have to part
Yes how quick we have to part

Did they part? Yes they part!
In remembrance of today...

Yes how quick we have to part



Yes how quick we have to part
Yes how quick we have to part

In remembrance, of today, brings sad feelings of tomorrow

Yes how quick we have to part

Believe me oh, oh lord I praise
African Herbsman
African Herbsman
African, African Herbsman"
Bob Marley & The Wailers,Slave Driver,"Ooooohhhhh Oooohhhh Ooohhh-Oohh Oooohhhh Ooohhh
Oohh Oooohhhh Ooohhh

Slave Driver
The table has turned (Catch a fire)
Catch a fire (Catch a fire)
So you can get burned now
(Catch a fire)
Slave Driver
The table has turned (Catch a fire)
Catch a fire (Catch a fire)
You're going to get burned
(Catch a fire)
Woah Now

Everytime I hear the crack of a whip
My blood runs cold
I remember on the slave ship
How they brutalize our very souls
Today they say that we are free
Only to be chained in poverty
Good God, I think it's illiteracy
It's only a machine that make money

(Slave Driver)
The table has turned, y'all
(Ooooohhhhh Oooohhhh Ooohhh)
(Slave Driver, ugh)
The table has turned, baby now! (Catch a fire)
(Catch a fire)
So you can get burned, baby now! (Catch a fire)
(Slave Driver)
The table is turned y'all (Catch a fire)
(Catch a fire)
So you can get burned now (Catch a fire)

Every time I hear the crack of a whip
My blood runs cold
I remember on the slave ship
How they brutalize our very souls
(Ooooohhhhh Oooohhhh Ooohhh-Oohh Oooohhhh Ooohhh)
Oh God have mercy on our souls!
(Oohh Oooohhhh Ooohhh)
Oh!

Slave Driver
The Table has turned, y'all (Catch a fire)
Catch a Fire (Catch a fire)
So you can get burned
(Catch a fire)
Slave Driver (Slave driver)
The table has turned, y'all (Catch a fire)
Catch a FIre
So you can get burned (Catch a fire)"
Bob Marley & The Wailers,Misty Morning,"Misty morning, don't see no sun
I know you are out there somewhere having fun
There is one mystery - yea-ea-eah - I just can't express
To give your more, to receive your less
One of my good friend said, in a reggae riddim
""Don't jump in the water, if you can't swim

The power of philosophy - yea-ea-eah - floats through my head
Light like a feather, heavy as lead
Light like a feather, heavy as lead, yeah

See no sun! Oh
Time has come, I want you
I want you to straighten out my tomorrow! Uh
I want - I want - I want you - (tomorrow)
Oh, wo-ah-ah-ah-ah-ah-ah-ah-ah
I want you to straighten out my (tomorrow)

""You can't jump - you can't jump in the water, if you can't swim

I want you (I want you) - I want you to straighten out my today
My tomorrow - my-my-my - my - my
(I want you to straighten out my tomorrow)
On a misty morning! (I want you to straighten out my tomorrow)"
Bob Marley & The Wailers,Zion Train,"Zion train is coming our way
The Zion train is coming our way
Oh, people, get on board! (you better get on board!)
Thank the Lord (praise Fari)
I got to catch a train, Because there is no other station
Then you going in the same direction (ooh-ooh)
Zion's train is coming our way
The Zion's train is coming our way

Which man can save his brother's soul? (save your brother's soul)
Oh man, it's just self control
Don't gain the world and lose your soul (just don't lose your soul)
Wisdom is better than silver and gold
To the bridge (ooh-ooh!)
Oh, where there's a will
There's always a way
Where there's a will
There's always a way (way, way, way, way)
Soul train is coming our way
Zion train is coming our way

Two thousand years of history (history)
Could not be wiped away so easily
Two thousand years of history (Black history)
Could not be wiped so easily (could not be wiped so easily)

Oh, children, Zion train is coming our way
Get on board now!
They said the Zion train is coming our way
You got a ticket, so thank the Lord!
Zion's train is
Zion's train is
Zion's train is
Zion's train is
They said the soul train is coming our way
They said the soul train is coming our way"
Bob Marley & The Wailers,Natty Dread,"Dread, Natty Dread now (Natty Dread)
Dreadlock Congo Bongo I (Natty Dread)
Natty Dreadlock in a Babylon (Natty Dread)
A dreadlock Congo Bongo I (Natty Dread)
Eh! Children get your culture (Natty Dreadlock)
And don't stay there and jester, a-ah, (Natty Dreadlock)
Or the battle will be hotter (Natty Dreadlock)
And you won't get no supper (Natty Dreadlock)
Natty Dread, Natty Dread, now (Natty Dread)
A dreadlock Congo Bongo I (Natty Dread)
Natty Dreadlock in a Babylon (Natty Dread)
Roots Natty, Natty Roots Natty (Natty Dread)
Then I walk up the first street (Natty Dreadlock)
And then I walk up the second street to see (Natty Dreadlock)
Then I trod on through third street (Natty Dreadlock)
And then I talk to some Dread on fourth street (Natty Dreadlock)
Natty Dreadlock in a fifth street (Natty Dreadlock)
And then I skip one fence to sixth street (Natty Dreadlock)
I've got to reach seventh street (Natty Dreadlock)
Natty Dreadlock Bingy Bongo I (Natty Dread)
Natty dread, Natty Dread, now (Natty Dread)
Roots Natty Congo I (Natty Dread)
Oh, Natty Natty
Natty 21,000 miles away from home, yeah!
Oh, Natty Natty
And that's a long way
For Natty to be from home
Don't care what the world seh (Natty Dread)
I'n'I couldn't never go astray (Natty Dread)
Just like a bright and sunny day (Natty Dread)
Oh, we're gonna have things our way (Natty Dread)
Natty Dread, Natty Dreadlock (Natty Dreadlock)
Dreadlock Congo Bongo I (Natty Dreadlock)
Don't care what the world seh (Natty Dreadlock)
And I gonna have things our way (Natty Dreadlock)
Natty Dread, Natty Dreadlock. "
Bob Marley & The Wailers,Stiff Necked Fools,"Stiff-necked fools, you think you are cool
To deny me for simplicity
Yes, you have gone for so long
With your love for vanity now
Yes, you have got the wrong interpretation
Mixed up with vain imagination
So take Jah Sun, and Jah Moon
And Jah Rain, and Jah Stars
And forever, yes, erase your fantasy, yea-yeah!

The lips of the righteous teach many
But fools die for want of wisdom
The rich man's wealth is in his city
The righteous' wealth is in his Holy Place
So take Jah Sun, and Jah Moon
And Jah Rain, and Jah Stars
And forever, yes, erase your fantasy, yeah!
Destruction of the poor is in their poverty
Destruction of the soul is vanity, yeah!

So stiff-necked fools, you think you are cool
To deny me for simplicity, yea-ea-yeah!
Yes, you have gone - gone for so long
With your love for vanity now

But I don't want to rule you!
I don't want to fool you!
I don't want to school you
Things you - you might never know about!
Yes, you have got the wrong interpretation
Mixed up with vain - vain imagination
Stiff-necked fools, you think you are cool
To deny me for, o-ooh, simplicity "
Bob Marley & The Wailers,Ride Natty Ride,"Dready got a job to do
And he's got to fulfill that mission
To see his hurt is their greatest ambition
But we will survive in this world of competition
Because no matter what they do
Natty keep on coming through
And no matter what they say
Natty do them every day
Natty Dread rides again
Through the mystics of tomorrow
Natty Dread rides again
Have no fear, have no sorrow

All and all you see a-gwan
Is to fight against Rastaman
So they build their world on great confusion
To force on us the devil's illusion
But the stone that the builder refuse
Shall be the head cornerstone
And no matter what game they play
We got something they could never take away
We got something they could never take away

And it's the fire, it's the fire
That's burning down everything
Feel the fire, fire
Only the birds have their wings
No time to be deceived
Oh, brothers, you should know and not believe
Jah say this judgement - it could never be with water
No water can put out this fire
This fire, this fire, this fire
A yaga y'all! Ride, Natty, ride
Go there, Dready, go there
Because now the fire is out of control
Panic in the city, wicked weeping for their gold
Everywhere this fire is burning
Destroying and melting their gold
Destroying and wasting their souls
Ride, Natty, ride
Go there, Dready, go there

Tell you what: now the people gather on the beach
And the leader try to make a speech
But the Dreadies understanding that it's too late
Fire is burning
Man, pull your own weight
Fire is burning
Man, pull your own weight
Natty Dread rides again
And me saying Go there, Dready
Oh ride, Natty, ride
And go there, Dready
Riding through the storm
Riding through the calm

Oh ride, Natty, ride
Go there, Dready, go there"
Bob Marley & The Wailers,Four Hundred Years,"400 years
(400 years, 400 years)
Of the same philosophy
400 years
(400 years, 400 years)
And, the people, they still can't see
Why do they fight against
The youth of today?
And without youths
You'd be gone, all gone astray
Come on, let's make a move
(Make a move, make a move)
Now that the time, the time has come
Fools don't see
(Fools don't see, fools don't see)
But I know, the weak is strong
So, come with me
To a land of liberty
Where we can live
Live our lives and be free
400 years
(400 years, 400 years)
Of the same, the same philosophy
400 years
(400 years, 400 years)
And my people, still cannot see
Come with me, you black and you brown
You got to be free
Stop sittin' down on your pride
Just can't hide

400 years
(400 years, 400 years)
Same, same philosophy
400 years
(400 years, 400 years)
Why do Black people close their eyes?
Come to reality
(400 years, 400 years)
You've got ability
Just can't see
400 years
(400 years, 400 years)"
Bob Marley & The Wailers,Johnny Was (Original),"Woman hold her head and cry
'Cause her son had been shot down in the street and died
From a stray bullet
Woman hold her head and cry
Explaining to her was a passerby
Who saw the woman cry

Wondering how can she work it out
Now she knows that the wages of sin is death
The gift of Jah is life
She cried

Oh, oh, all-la I know
Johnny was a good man
Ah-la I know
Johnny was a good, good, good, good man
She cried, She cried

Woman hold her head and cry
As her son had been shot down in the street and died
Just because of the system
Woman hold her head and cry
Comforting her I was passing by
She complained, then she cried

Whoa-oh, oh, ah
Yeah, I know now
(Johnny was a good man)
Said I know
(Never did a thing wrong)
Ah ah
(Johnny was a good man)
Can a woman tender care?
She cried
(Never did a thing wrong)
Cease towards the child she bear
(Johnny was a good man)
Oh, woman cried
Woman, she cried, oh, she cried, yeah
Can a woman tender care
Cease towards the child she bears
Woman cry"
Bob Marley & The Wailers,Soul Rebel,"I'm a rebel, soul rebel
I'm a capturer, soul adventurer

See the morning sun
On the hillside
Not living good, yeah, travel wide
Said I'm a living man
I've got work to do
If you're not happy, children
Then you must be blue
(Must be blue, must be blue)
People say

(I'm a rebel)
Let them talk
(Soul rebel)
Talk won't bother me
Capturer (I'm a capturer)
That's what they say
(Soul adventurer)
Night and day
(I'm a rebel)
I'm a rebel
Soul rebel
Do you hear them, lippy?
(I'm a capturer)
Gossip around the corner
(Soul adventurer)
How they adventure on me, y'all

But, see the morning sun
On the hillside
Not living good, travel wide
Said I'm a living man
I've got work to do
(Must be blue)
If you're not happy, then you must be blue
(Must be blue, must be blue)

I'm a rebel (Rebel)
Soul rebel
I'm a capturer (Capturer)
Soul adventurer
Do you hear me?
(I'm a rebel)
Rebel in the morning
(Soul rebel)
Rebel at midday time"
Bob Marley & The Wailers,Ambush In The Night,"(Ooh-wee, ooh-wee, ooh-wa!)
See them fighting for power (ooh-wee, ooh-wee, ooh-wa!)
But they know not the hour (ooh-wee, ooh-wee, ooh-wa!)
So they bribing with their guns, spare-parts and money
Trying to belittle our
Integrity now
They say what we know
Is just what they teach us
And we're so ignorant
Because every time they can reach us (shoobe, doo-wa)
Through political strategy (shoo-be, doo-wa)
They keep us hungry (shoobe, doo-wa)
And when you gonna get some food (shoobe, doo-wa)
Your brother got to be your enemy, we-e-ell!

Ambush in the night
All guns aiming at me
Ambush in the night
They opened fire on me now
Ambush in the night
Protected by His Majesty
Ooh-wee, ooh-wee, Ooh-wa-ooh
(Ooh-wee) Ooh-wee, ooh-wee (ooh-wa), Ooh-wa
Ooh-wee, ooh-wee, ooh wa-ooh
Ooh-wee, ooh-wee, ooh wa-ah

Well, what we know
Is not what they tell us
We're not ignorant, I mean it
And they just cannot touch us
Through the powers of the Most-High (shoobe, doo-wa)
We keep on surfacing (shoobe, doo-wa)
Through the powers of the Most-High (shoobe, doo-wa)
We keep on surviving
Yeah, this ambush in the night
Planned by society
Ambush in the night
They trying to conquer me
Ambush in the night
Anything money can bring
Ambush in the night
Planned by society
Ambush in the night"
Bob Marley & The Wailers,Survival,"(Ow, ow-ow-ow-ow!
Ow, ow-ow-ow-ow!)
Yeah, yeah, yeah!

How can you be sitting there
Telling me that you care
That you care
When every time I look around
The people suffer in the suffering
In every way, in everywhere

Say, na-na-na-na-na (na-na, na-na!)
We're the survivors
Yes, the Black survivors

I tell you what, some people got everything
Some people got nothing
Some people got hopes and dreams
Some people got ways and means

Like Daniel out of the lions' den
(Black survivors) Survivors, survivors

So I Idren, I sistren
Which way will we choose
We better hurry, oh, hurry, oh, hurry, whoa, now
Because we got no time to lose

Some people got facts and claims
Some people got pride and shame
Some people got the plots and schemes
Some people got no aim it seems


Like Shadrach, Meshach and Abednego
(Black survivors)
Thrown in the fire, but-a never get burn
So I Idren, I-sistren
The preaching and talking is done
We've gotta live up, wo now, wo now!
Because the Father's time has come
Some people put the best outside
Some people keep the best inside
Some people can't stand up strong
Some people won't wait for long


In this age of technological inhumanity (Black survival)
Scientific atrocity (survivors)
Atomic mis-philosophy (Black survival)
Nuclear mis-energy (survivors)
It's a world that forces lifelong insecurity (Black survival)
All together now


A good man is never honoured (survivors)
In his own country (Black survival)
Nothing change, nothing strange (survivors)
Nothing change, nothing strange (Black survivors)
We got to survive, you all! (survivors)"
Bob Marley & The Wailers,Chances Are,"Chances are..we're gonna leave now
Sorry for..the victim now
Though my days..are filled with sorrow
I see here..a bright tomorrow
Chances, chances are..some might not hold out
Chances are..hang on right now
Though all of my, days..are filled with sorrow
I stay here..a bright tomorrow
Chances, chances are..some might not hold out
Chances are..hang on right now
Chances are..oh, chances, you're my chances
Chances are..hang on right now
(Chances are)..hang on right now
Deal with loneliness..heartaches and teardrops
(Chances are)..we'll have to wait
(Chances are)..hang on right now
Chances are..chances are..
Oh chances, you're my chances.."
Bob Marley & The Wailers,Revolution,"Revelation reveals the truth, revelation
(revolution, revolution, revolution - ooo-doo-doo-doo-doo)
(revolution - ooo-doo-doo-doo-doo)

It takes a revolution (revolution) to make a solution
(doo-doo-doo-doo)
Too much confusion (aaa-aaah), so much frustration, eh
I don't want to live in the park (live in the park)
Can't trust no shadows after dark (shadows after dark), yeah
So, my friend, I wish that you could see
Like a bird in the tree, the prisoners must be free, yeah (free)

Never make a politician (aaa-aaah) grant you a favour
(doo-doo-doo-doo)
They will always want (aaa-aaah) to control you forever, eh
(forever, forever)
So if a fire make it burn (make it burn, make it burn)
And if a blood make you run (make you run, run, run)
Rasta up on top (aaa-aaah), can't you see (doo-doo-doo-doo)
So you can't predict the flop, Eh-eh (doo-doo-doo-doo)

We got lightning (lightning), thunder (thunder)
Brimstone (brimstone) and fire, fire (fire, fire)
Lightning (lightning), thunder (thunder)
Brr-brimstone (brimstone) and fire, fire, fire, fire
(fire, fire)

Kill, cramp and paralyze all weak at conception
(aaa-aaah, doo-doo-doo-doo)
Wipe them out of creation (creation), yeah! (creation)
Wa-Jah, Jah, Jah! Wa-Jah, Jah, Jah! (creation)
Wa-Jah, Jah, Jah! (creation)

Oh! Let eyes is eyes (eyes), in eyes is black (eyes)
In eyes is red (eyes), in eyes is dread
Let righteousness cover the earth
Like the water (aaa-aaah) cover the sea, yeah, yeah
Lightning (lightning), doo-doo-doo (thunder)
Doo-doo-doo (brimstone), doo-doo-doo (fire, fire)
A lightning (lightning), thunder (thunder)
Brimstone (brimstone) and fire"
Bob Marley & The Wailers,Chant Down Babylon,"Come we go burn down Babylon one more time
(Come we go burn down Babylon one more time)
Come we go chant down Babylon one more time
(Come we go chant down Babylon)
For them soft! Yes, them soft! (ah-yoy!)
Them soft! Yes, them soft! (ah-yoy!)
So come we go chant down Babylon one more time
(Come we go chant down Babylon)!

Men see their dreams and aspiration-a
Crumble in front of their face
And all of their wicked intention
To destroy the human race
And how I know - and how I know - and that's how I know
A Reggae Music, make we chant down Babylon
With music, make we chant down Babylon
This music, make we chant down Babylon
This music, come we chant down Babylon


Me say, Music you're - music you're the key
Talk to who? Please talk to me
Bring the voice of - of the Rastaman
Communicating to – ‘cating to everyone
How I (know) - how I know, how I (know) - how I know
And that's how I know
A Reggae Music, chant down - chant down - chant down Babylon
Chant down Babylon, chant down Babylon
Chant down Babylon!
Reggae Music, chant down Babylon!
Reggae Music, chant down Babylon!
Reggae Music, chant down Babylon!
Reggae Music! (chant down Babylon) "
Bob Marley & The Wailers,Roots,"Root, natty, roots
Dread, kinky, dread
I and I are the roots
Some are leaf (shoo-be-doo)
Some are branches (shoo-be-doo)
I and I are the roots
Some are dry wood (shoo-be-doo)
For the fire (shoo-be-doo)
Whyo, look at that
They need a dry wood (shoo-be-doo)
To cook their raw food (shoo-be-doo)
Whyo, look at that
Got to survive in this man-mania downpression
Got to survive in iration
Mi say, root, natty, root
Dread, kinky, dread
I and I are the roots
Some are wolf (shoo-be-doo)
In sheep clothing (shoo-be-doo)
Whyo, look at that
Many are called (shoo-be-doo)
A few are chosen (shoo-be-doo)
Whyo, look at that
Nothing they can do (shoo-be-doo)
To separate I and I (shoo-be-doo)
From the love of our Father
You see, blood is thicker than water
Whyo, look at that
Got to survive in the ghetto
Got to survive, people don't fret, no
We got a root, natty, root
Dread, kinky, dread
I and I are the roots
Root natty
Dread kinky
I and I are the roots"
Bob Marley & The Wailers,"Roots, Rock, Reggae","Play I some music (this a reggae music)
Play I some music (this a reggae music)
Roots, rock, reggae (this a reggae music)
Roots, rock, reggae (this a reggae music)

Hey Mr Music, you sure sound good to me
I can't refuse it, what do we got to be?
Feel like dancing, dance cause we are free
Feel like dancing, come dance with me

Roots, rock, reggae (this a reggae music)
Roots, rock, reggae (this a reggae music)
Play I some music (this a reggae music)
Play I some music (this a reggae music)

Play I on the R&B, want all my people to see
We're bubbling on the top one hundred, just like a mighty dread

Roots, rock, reggae (this a reggae music)
Roots, rock, reggae (this a reggae music)
Play I some music (this a reggae music)
Play I some music (this a reggae music)

This a reggae music

Play I on the R&B, want all my people to see
We're bubbling on the top one hundred, just like a mighty dread

Roots, rock, reggae (this a reggae music)
Roots, rock, reggae (this a reggae music)
Play I some music (this a reggae music)
Play I some music (this a reggae music)

This a reggae music"
Bob Marley & The Wailers,High Tide Or Low Tide,"In high seas or in low seas
I am going to be your friend
I am going to be your friend
In high tide or in low tide
I will be by your side
I will be by your side

(I heard her praying, praying, praying)
I said, I heard my mother
She was praying (Praying, praying, praying)
And the words that she said (The words that she said)
They still linger in my head (Lingers in my head)
She said, ""A child is born in this world
He needs protection
God, guide and protect us
When we are wrong, please correct us
(When we are wrong, correct us)
And stand by me."" yeah!

In high seas or in low seas
I am going to be your friend
He said, ""I am going to be your friend""
And, baby, in high tide or low tide
I will be by your side
I will be by your side

I said I heard my mother
She was crying (I heard her crying), yeah! (Crying, crying)
And the tears that she shed (The tears that she shed)
They still linger in my head (Lingers in my head)
She said: ""A child is born in this world
He needs protection
God, guide and protect us
When we are wrong, (When we're wrong), correct us

And in high seas or low seas
I am going to be your friend
I am going to be your friend
Said, high tide or low tide
I will be by your side
I will be by your side"
Bob Marley & The Wailers,Don’t Rock My Boat,"Huh, please don't you rock my boat
'Cause I don't want my boat to be rockin' anyhow
Please don't you rock my boat, no
'Cause I don't want my boat to be rockin'
I'm tellin' you that, oh, ooh-aah, I like it a-like a-this
Can you miss?
And you should know, ooh-aah, when I like it a-like a-this
Am I really it? Ooh yeah
You satis- satis- satisfy my soul, morning time
Evening cold, -fy my soul
Yes, I've been a-tellin' you, bake me the sweetest cakes
I'm happy inside all the time
Oh, can't you see what you've done for me? Yeah
You make me feel like when we bend them new corners
We feel like sweepstake winners, yeah
When we bend them new corners
We feel like sweepstake winners
And I said, oh, ooh-aah, I like it a-like a-this
Yes, I do
And you should know, ooh-aah, when I like it a-like a-this
I've got it, just can't miss, ooh
Satis- satisfy my soul, darlin'
Make me love you in the morning time, yeah
If ever I treated you bad, make it up to me one time
'Cause I'm happy inside all the time
I want you beside me, yeah, to be mine
One thing you've got to do, is when a-we holding hands together
You've got to know that we love, a-love each other, yeah
And if every time you should walk away from me now
Uh, you'll now I need your sympathy, yeah
Can you see? Do you believe me?
Oh, darlin', darlin', I'm callin', callin'
Satisfy my soul, satisfy my soul
Never, never, never give it up now
All in the same boat
Rockin' on the same route
We gotta get together, join each other
And can't you see what I've got for you? Yeah
I'm happy, happy, happy, happy, happy, and not you can turn me blue now
Come a little closer, satisfy my"
Bob Marley & The Wailers,Real Situation,"Check out the real situation
Nation war against nation
Where did it all begin?
When will it end?

Well, it seems like: total destruction the only solution
And there aren't no use: no one can stop them now
Ain't no use: nobody can stop them now

Give them an inch, they take a yard
Give them a yard, they take a mile (ooh)
Once a man and twice a child
And everything is just for a while

Well, it seems like: total destruction the only solution
And there aren't no use: no one can stop them now
Ain't no use: nobody can stop them now

Check in the real situation (check it out, check it out)
Nation fight against nation
Where did it all begin? Wo-oo-o-o-oh!
Where will it end?

Well, it seems like: total destruction the only solution
And there aren't no use: no one can stop them now
Ain't no use: nobody can stop them now

There  ain't no use: no one can't stop them now
Everybody struggling:  ain't no use -  ain't no use
Ain't no use you even try
Ain't no use: got to say 'bye-'bye!
Ain't no use!  Ain't no - ain't no use: no one can stop them now
(No one can stop them now) "
Bob Marley & The Wailers,Midnight Ravers,"Do-do-do. Do-do-do. Do-do-do
(You can't tell the woman from the man)
No, I say you can't, cause they're dressed in the same pollution
(dressed in the same pollution)
Their mind is confused with confusion
With their problems since they've no solution
They become the midnight ravers

Someone say
(Please, don't let me down!)
Oh, please, don't let me - ee-ya-bab, oh, please don't let me down!
(Midnight) Midnight ravers! (ravers) Midnight ravers!
(Please don't) Oh, please, please
Don't let me down, down, down, down, down!
Don't let me down
Don't let me down

I see ten thousand chariots (ah-ah-ah-ah)
And they coming without horses; (coming without horses)
The riders - they cover their face, (ah-ah-ah-ah)
So you couldn't make them out in smoky place
(make them out in smoky places)
In that musical stampede, where everyone is doing their thing
Musical stampede - people swinging
Musical stampede. Someone say
People, ride on! (keep a-riding!)
(keep a-riding!) Ride on!
(keep a-riding!) Midnight ravers!
People, ride on! (keep a-riding!)
(keep a-riding!) Ride on!
(keep a-riding!) Midnight ravers!

I can't tell my woman from the man
She is dressed in the same pollution; (dressed in the same pollution)
Her mind is confused with confusion
To my problem seems there's never - never no solution!
I've become a night-life raver
And I'm begging you, (please) please, please
Oh, beel-ya-ba-ba - please don't you let me down!

(Night-life ravers) Night-life ravers! Night-life ravers!
Oh, please, please, please, please, don't let me down
Don't let me down
Don't let me down!

I see ten thousand chariots (ah-ah-ah-ah)
And they coming without horses; (coming without horses)
The riders they cover their face, (ah-ah-ah-ah)
So you couldn't make them out in smoky place -
In that musical stampede, oh!
It's the musical stampede. Ride on!
It's the musical stampede, some preacher say!
People ride on! (keep a-riding!)
(keep a-riding!) Ride on!
(keep a-riding!) Midnight ravers!
A-ride on! (keep a-riding!)
(keep a-riding!) Ride on!
(keep a-riding!) Midnight ravers!
Ride on, y'all! (keep a-riding!)
(keep a-riding!) Ride on!
(keep a-riding!) Midnight ravers!
Ride on! (keep a-riding!)
(keep a-riding!) Don't let me down, midnight ravers!
(keep a-riding!)
Midnight ravers, don't let me down! (keep a-riding!)
Don't let me down - don't let me down! (keep a-riding!)
Well, I'm coming!
I got too much talking"
